ds,yhat,yhat_lower,yhat_upper
2013-01-01,185.18732178036964,-1065.3578341739724,1386.1640523133542
2013-01-02,129.6512024250257,-1088.0768641113627,1384.7047221493622
2013-01-03,159.15933717685766,-1084.1845986970861,1564.9769512830196
2013-01-04,130.42065034174522,-1139.8950124581722,1347.8934697282605
2013-01-05,304.76266916815456,-890.5061388871438,1598.1165505825163
2013-01-06,324.1182563588088,-839.2149049236101,1650.8682685734177
2013-01-07,217.11843251232898,-1181.399555130347,1468.3172298234506
2013-01-08,160.90577182146419,-1023.6939258175806,1425.1579306807437
2013-01-09,106.23664728506787,-1206.2611337547432,1461.6806444923411
2013-01-10,137.07004465959923,-1200.5688158527214,1502.1373704042155
2013-01-11,110.06082513578295,-1223.9429149807972,1258.1810258941546
2013-01-12,286.4738766528785,-897.2322660857593,1482.4083433049907
2013-01-13,308.1725995063914,-941.0913322350381,1604.9555022260015
2013-01-14,203.713645585068,-1012.0251045140261,1441.2796602415392
2013-01-15,150.16234216391484,-1133.3284541192056,1400.8421129430528
2013-01-16,98.19702131346676,-1209.05672369922,1335.0082582172458
2013-01-17,131.69991771103048,-1162.6420839286286,1348.2906350741605
2013-01-18,107.25245869327622,-1142.9832070455618,1396.3671105564015
2013-01-19,286.05133214808745,-1015.2999109119937,1608.0293016102855
2013-01-20,309.8987269110786,-1050.5092525672014,1557.1629249216605
2013-01-21,207.2986187152141,-1043.0859985234877,1591.5066455772885
2013-01-22,155.2734922806465,-1166.9556404890652,1438.6373567080423
2013-01-23,104.46968731065888,-1143.348123237858,1291.2633945795137
2013-01-24,138.74900578516304,-1144.847138265119,1414.8126582355085
2013-01-25,114.68438757727662,-1172.8716589701887,1377.3230234933226
2013-01-26,293.47603215712223,-831.2581538700888,1666.035221477927
2013-01-27,316.9413623661576,-893.7667497387973,1668.4683374341084
2013-01-28,213.61071369495863,-1131.8807467869628,1485.5762985975907
2013-01-29,160.54315874170882,-1084.8348213784666,1494.5589462092148
2013-01-30,108.43068186991525,-1138.0000972132925,1330.976037282994
2013-01-31,141.18837601492388,-1142.5026668914895,1382.7945830738029
2013-02-01,115.44850957468554,-1135.2075996405572,1469.2046482771884
2013-02-02,292.4748872088435,-1000.9770305612486,1620.852387839552
2013-02-03,314.1509504329109,-929.1027071329952,1610.5405613482715
2013-02-04,209.0735537852555,-1093.3528572290836,1347.4698561508815
2013-02-05,154.36687955408706,-1069.7459116044813,1405.9674771328698
2013-02-06,100.78475887724292,-1161.7500876392642,1381.68973463832
2013-02-07,132.2991219807248,-1067.0482822104814,1415.7641660326692
2013-02-08,105.59247292947512,-1101.5001682096906,1270.8980038397028
2013-02-09,281.97085548429965,-1059.3860124637752,1547.6206611618582
2013-02-10,303.35079289970463,-932.4367908226608,1661.5046725720454
2013-02-11,198.35216757717484,-1117.0537388902976,1463.2403338324184
2013-02-12,144.11152613144202,-1175.5280928149207,1349.1574304072485
2013-02-13,91.38409204602715,-1248.1010165806035,1345.345453080239
2013-02-14,124.13221461610951,-1162.2525785071844,1469.998638909983
2013-02-15,99.01814684959726,-1159.7466358546608,1407.5422424904002
2013-02-16,277.31760780200227,-937.0991127051263,1628.6647420797017
2013-02-17,300.9075929986125,-990.3839171553627,1480.5070231012944
2013-02-18,198.36037222876735,-1067.6594286752272,1502.8463102083547
2013-02-19,146.75812698717155,-1049.993099326909,1372.0826533363866
2013-02-20,96.79647082272504,-1161.6894721934107,1396.544597958059
2013-02-21,132.3745378455246,-1205.4686227421082,1322.1238488988877
2013-02-22,110.08948537032268,-1185.6110268876473,1278.0959419122187
2013-02-23,291.15181755936175,-972.8531890511658,1610.3756797849414
2013-02-24,317.07271305537336,-974.9586645175367,1554.5558263043017
2013-02-25,216.66640514047387,-1070.6342521436513,1454.8474609606321
2013-02-26,166.9597054631309,-1178.6449353822813,1497.826431418327
2013-02-27,118.59918706724207,-1199.2456045164283,1431.0973706722527
2013-02-28,155.44251637645684,-1038.4098061199109,1343.1456059916795
2013-03-01,134.05397926176175,-1086.2491544857937,1478.5367092522238
2013-03-02,315.6205821679733,-914.644465203931,1549.533605782358
2013-03-03,341.9421240924947,-993.6094850013636,1595.1082763539866
2013-03-04,241.5271192832615,-961.6922743213678,1414.7429159717103
2013-03-05,191.4089735587981,-1050.591135192511,1525.0782793023488
2013-03-06,142.25061944675696,-1208.4102681577856,1476.5880187531695
2013-03-07,177.93526958984975,-1095.5811086178842,1462.9337744191719
2013-03-08,155.06112144716252,-1092.871662171729,1346.53414187301
2013-03-09,334.8564202842,-926.6271713273884,1485.387341895111
2013-03-10,359.16830800492613,-858.6353972484136,1583.4832193373013
2013-03-11,256.5573742681337,-1071.953033265073,1384.7492022753652
2013-03-12,204.1123530731764,-1000.6600527282385,1466.017956699753
2013-03-13,152.55321281894757,-1055.3787707550346,1506.4198566241016
2013-03-14,185.82034337331172,-1100.0948545547988,1519.1843092449878
2013-03-15,160.5677172953145,-1114.6198336569876,1433.415716870877
2013-03-16,338.0764750714188,-931.2058162090101,1655.8659847753952
2013-03-17,360.2424023641416,-897.9067142295308,1636.8047294384753
2013-03-18,255.66925258866326,-989.9995212269089,1541.4917185939246
2013-03-19,201.48239033268052,-1067.002055948272,1391.126713589623
2013-03-20,148.43103052195463,-1121.4007015339596,1489.0982679768736
2013-03-21,180.47679764737813,-1068.072627937111,1414.6190517079808
2013-03-22,154.28649635929455,-1088.316129206038,1430.8211832476934
2013-03-23,331.1455504898209,-975.9854377117404,1588.961002916454
2013-03-24,352.9455786554797,-868.8441138048871,1648.5931877319683
2013-03-25,248.278052932588,-1038.1681502088163,1622.250756722756
2013-03-26,194.2485026318185,-1031.8248276935965,1536.0504967662305
2013-03-27,141.57951837329975,-1075.50714214738,1379.081882680222
